Datetime,TSP [ug/m3],PM10 [ug/m3],PM2.5 [ug/m3],PM1 [ug/m3],TC [1/l],Battery_voltage,Electrical_load,Switch,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Estimated_catalyst_temperature,Engine_status,Status_bit,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,Average_fuel_consumption_rate,Pumping_and_rubbing_friction_torque_at_current_condition,RON_factor,altitude,latitude,longitude,satelites,bearing,angular_speed,Acceleration,Deceleration
2025-01-07 13:40:06,12.2,12.2,10.8,10.2,429260,13.416666666666666,1.0,32.0,32.549,34.333333333333336,3.9616666666666664,0.0,72.0,0.0,957.0,14.5,654.0,3.0,24.0,13.0,14540.719,-15.406333333333334,553781.4789999999,0.32616666666666666,20.81233333333333,0.492,1285.0,35.706192,51.267135499999995,12.0,225.0,0.2617993877991495,0.0,0.0
2025-01-07 13:40:12,12.6,12.6,10.6,9.7,413690,13.433333333333332,1.0,32.0,32.549,34.5,3.919833333333333,0.0,72.83333333333333,0.0,950.0416666666666,14.5,654.0,3.0,24.0,13.0,14540.719,-14.6355,555730.8645,0.32383333333333336,20.843500000000002,0.492,1285.0,35.706192,51.267132,12.0,270.0,0.0,0.0,0.0
2025-01-07 13:40:18,15.3,13.6,10.0,9.7,413240,13.416666666666666,1.0,32.0,32.549,34.333333333333336,3.9291666666666667,0.0,73.33333333333333,0.0,954.0833333333334,14.5,654.5,3.0,24.0,13.0,14540.719,-14.573,557683.9375,0.32283333333333336,20.833166666666667,0.492,1285.0,35.706198,51.267132,12.0,0.0,0.2617993877991495,0.0,0.0
2025-01-07 13:40:24,11.0,11.0,10.4,9.9,421300,13.4,1.0,32.0,32.549,34.333333333333336,3.9778333333333333,0.0,74.0,0.0,953.1666666666666,14.5,654.0,3.0,24.0,13.0,14540.719,-15.228833333333334,559640.9583333334,0.32633333333333336,20.833166666666667,0.492,1285.0,35.706203,51.267132,12.0,0.0,0.0,0.0,0.0
2025-01-07 13:40:30,14.0,14.0,11.1,9.9,417250,13.433333333333332,1.0,32.0,32.549,34.333333333333336,3.933666666666667,0.0,75.0,0.0,954.4166666666666,14.5,654.0,3.0,24.0,13.0,14540.719,-14.677,561598.3748333333,0.3256666666666667,20.801833333333335,0.492,1285.0,35.706221,51.267124,12.0,168.95,0.0,0.0,0.0
2025-01-07 13:40:36,12.9,12.9,10.9,10.1,429510,13.416666666666666,1.0,32.0,32.549,34.5,3.951333333333333,0.0,75.5,0.0,951.2916666666666,14.5,654.0,3.0,24.0,13.0,14540.719,-12.479166666666666,563537.9789999999,0.322,20.843666666666667,0.492,1285.0,35.706223,51.2671185,12.0,135.0,-0.2617993877991495,0.0,0.0
2025-01-07 13:40:42,14.1,14.1,10.7,10.3,430970,13.433333333333332,1.0,32.0,32.549,34.333333333333336,3.917,0.0,76.0,0.0,954.3333333333334,14.5,654.0,3.0,24.0,13.0,14540.719,-15.250166666666667,565494.4373333333,0.32016666666666665,20.854,0.492,1285.0,35.706223,51.267113,12.0,270.0,0.0,0.0,0.0
2025-01-07 13:40:48,12.1,12.1,11.2,10.2,429060,13.416666666666666,1.0,32.0,32.549,34.166666666666664,3.9293333333333336,0.0,75.5,0.0,957.5,14.5,654.5,3.0,24.0,13.0,14540.719,-14.656500000000001,567447.2706666667,0.3276666666666667,20.8225,0.492,1285.0,35.706223,51.267104999999994,12.0,270.0,0.0,0.0,0.0
2025-01-07 13:40:54,13.1,13.1,11.7,10.2,435830,13.433333333333332,1.0,32.0,32.549,34.166666666666664,3.9365,0.0,73.66666666666667,0.0,956.125,14.5,656.0,3.0,24.0,13.0,14540.719,-14.729166666666666,569408.9898333333,0.328,20.833166666666667,0.492,1285.0,35.7062245,51.267104999999994,12.0,135.0,0.2617993877991495,0.0,0.0
2025-01-07 13:41:00,12.8,12.8,10.3,10.1,427610,13.4,1.0,32.0,32.549,34.333333333333336,3.9339999999999997,0.0,71.66666666666667,0.0,955.9583333333334,14.5,657.0,3.0,24.0,13.0,14540.719,-14.7605,571379.3545,0.33066666666666666,20.875,0.492,1285.0,35.70623,51.267101,12.0,195.81000000000003,0.26179938779914946,0.0,0.0
