Datetime,TSP [ug/m3],PM10 [ug/m3],PM2.5 [ug/m3],PM1 [ug/m3],TC [1/l],Battery_voltage,Electrical_load,Switch,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Estimated_catalyst_temperature,Engine_status,Status_bit,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,Average_fuel_consumption_rate,Pumping_and_rubbing_friction_torque_at_current_condition,RON_factor,altitude,latitude,longitude,satelites,bearing,angular_speed,Acceleration,Deceleration
2024-11-18 15:38:36,25.7,25.7,24.6,23.5,877060,13.300000000000002,1.0,32.0,38.43233333333333,35.0,3.589166666666667,0.0,73.0,0.0,953.0,14.5,613.0,3.0,24.0,13.0,12426.015999999998,-15.843666666666666,27456.773166666666,0.33549999999999996,20.666833333333333,0.08,1272.0,35.706215,51.267231,12.0,135.0,-0.2617993877991495,0.0,0.0
2024-11-18 15:38:42,26.4,26.4,25.2,23.5,878030,13.300000000000002,1.0,32.0,38.432,35.0,3.5725,0.0,73.0,0.0,950.0,14.5,616.0,3.0,24.0,13.0,12426.015999999998,-15.8335,29478.414,0.33316666666666667,20.677333333333333,0.08,1272.0,35.706211,51.267227,12.0,238.38,0.43161992401819765,0.0,0.0
2024-11-18 15:38:48,24.9,24.9,23.9,22.9,852960,13.266666666666666,1.0,32.0,38.432,35.166666666666664,3.6033333333333335,0.0,73.0,0.0,951.1666666666666,14.5,619.0,3.0,24.0,13.0,12426.015999999998,-15.885333333333334,31501.656333333332,0.3401666666666667,20.62483333333333,0.08,1272.0,35.706211,51.267227,12.0,238.38,0.0,0.0,0.0
2024-11-18 15:38:54,25.6,25.6,23.8,22.6,844910,13.266666666666666,1.0,32.0,38.431666666666665,35.333333333333336,3.5873333333333335,0.0,72.0,0.0,948.4583333333334,14.5,622.0,3.0,24.0,13.0,12426.015999999998,-15.531500000000001,33527.0235,0.33749999999999997,20.656499999999998,0.08,1272.0,35.706203,51.267227,12.0,180.0,-0.16982053621904816,0.0,0.0
2024-11-18 15:39:00,27.2,27.2,24.9,22.9,852710,13.316666666666668,1.0,32.0,38.431,35.666666666666664,3.561666666666667,0.0,72.0,0.0,949.6666666666666,14.5,625.0,3.0,24.0,13.0,12426.015999999998,-15.5835,35552.25516666666,0.33966666666666673,20.646,0.08,1272.0,35.706203,51.26722,12.0,270.0,0.2617993877991495,0.0,0.0
2024-11-18 15:39:06,26.3,26.1,20.4,18.8,678350,13.283333333333333,1.0,32.0,38.431,35.5,3.579333333333333,0.0,72.0,0.0,949.5833333333334,14.5,628.0,3.0,24.0,13.0,12426.015999999998,-15.437666666666667,37569.02366666667,0.3383333333333333,20.6355,0.08,1272.0,35.7062015,51.26722,12.0,225.0,-0.2617993877991495,0.0,0.0
2024-11-18 15:39:12,28.3,28.3,20.6,18.7,681270,13.300000000000002,1.0,32.0,38.431,35.0,3.563166666666667,0.0,72.33333333333333,0.0,954.5,14.5,631.0,3.0,24.0,13.0,12426.015999999998,-15.573,39590.65616666667,0.33416666666666667,20.6145,0.08,1272.0,35.7062,51.267216,12.0,225.0,0.2617993877991495,0.0,0.0
2024-11-18 15:39:18,25.1,24.9,19.0,18.3,670400,13.283333333333333,1.0,32.0,38.431,35.333333333333336,3.5573333333333337,0.0,73.0,0.0,949.5416666666666,14.5,634.0,3.0,24.0,13.0,12426.015999999998,-15.645833333333334,41608.15616666667,0.332,20.6875,0.08,1272.0,35.706196,51.267212,12.0,180.0,-0.2617993877991495,0.0,0.0
2024-11-18 15:39:24,22.8,22.7,19.8,18.6,677290,13.300000000000002,1.0,32.0,38.431,35.5,3.560333333333333,0.0,73.0,0.0,951.7916666666666,14.5,636.5,3.0,24.0,13.0,12426.015999999998,-15.447833333333334,43619.76033333333,0.3368333333333333,20.656499999999998,0.08,1272.0,35.706196,51.267204,12.0,270.0,0.2617993877991495,0.0,0.0
2024-11-18 15:39:30,23.1,23.1,21.8,19.8,722040,13.300000000000002,1.0,32.0,38.431,35.5,3.5685000000000002,0.0,73.0,0.0,954.375,14.5,639.0,3.0,24.0,13.0,12426.015999999998,-17.50016666666667,45635.6745,0.3373333333333333,20.6355,0.08,1272.0,35.706198,51.267204,12.0,135.0,0.2617993877991495,0.0,0.0
2024-11-18 15:39:36,26.1,26.1,22.3,20.7,759750,13.333333333333334,1.0,32.0,38.431,34.0,3.4095,0.0,73.0,0.0,956.9166666666666,14.5,641.5,3.0,24.0,13.0,12426.015999999998,-17.125333333333334,47623.578166666666,0.32066666666666666,20.729166666666668,0.08,1272.0,35.7062,51.267204,12.0,0.0,0.0,0.0,0.0
2024-11-18 15:39:42,25.7,25.6,22.6,21.5,790580,13.333333333333334,1.0,32.0,38.431,33.666666666666664,3.34,0.0,73.0,0.0,949.4583333333334,14.5,644.5,3.0,24.0,13.0,12426.015999999998,-15.698166666666667,49483.77849999999,0.32433333333333336,20.781499999999998,0.08,1272.0,35.7062015,51.267197,12.0,135.0,0.0,0.0,0.0
2024-11-18 15:39:48,26.1,25.9,22.6,21.6,796690,13.300000000000002,1.0,32.0,38.431,35.166666666666664,3.551833333333333,0.0,73.0,0.0,950.9166666666666,14.5,645.0,3.0,24.0,13.0,12426.015999999998,-15.75,51485.39316666667,0.3353333333333333,20.625,0.08,1272.0,35.706211,51.267197,12.0,0.0,0.0,0.0,0.0
2024-11-18 15:39:54,28.1,28.0,21.3,18.9,695410,13.25,1.0,32.0,38.431,35.333333333333336,3.545833333333333,0.0,73.0,0.0,953.5,14.5,645.5,3.0,24.0,13.0,12426.015999999998,-15.583333333333334,53496.461,0.33183333333333337,20.68766666666667,0.08,1272.0,35.706215,51.267197,12.0,0.0,0.0,0.0,0.0
